FIPS,county,state,land_area,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020
1001,Autauga County,AL,594.44,55243,55390,55533,55869,58805
1003,Baldwin County,AL,1589.78,207601,212521,217855,223234,231767
1005,Barbour County,AL,884.88,25806,25157,24872,24686,25223
1007,Bibb County,AL,622.58,22586,22550,22367,22394,22293
1009,Blount County,AL,644.78,57494,57787,57771,57826,59134
1011,Bullock County,AL,622.81,10389,10176,10174,10101,10357
1013,Butler County,AL,776.83,20012,19888,19631,19448,19051
1015,Calhoun County,AL,605.87,114973,114710,114331,113605,116441
1017,Chambers County,AL,596.53,33745,33707,33600,33254,34772
1019,Cherokee County,AL,553.7,25768,25805,26014,26196,24971
1021,Chilton County,AL,692.85,43866,44120,44163,44428,45014
1023,Choctaw County,AL,913.5,13045,12925,12833,12589,12665
1025,Clarke County,AL,1238.47,24340,24063,23918,23622,23087
1027,Clay County,AL,603.96,13393,13350,13294,13235,14236
1029,Cleburne County,AL,560.1,14848,14899,15010,14910,15056
1031,Coffee County,AL,678.97,51202,51853,51950,52342,53465
1033,Colbert County,AL,592.62,54497,54695,55004,55241,57227
1035,Conecuh County,AL,850.16,12500,12431,12292,12067,11597
1037,Coosa County,AL,650.93,10819,10724,10643,10663,10387
1039,Covington County,AL,1030.46,37382,37062,36953,37049,37570
1041,Crenshaw County,AL,608.84,13916,13858,13825,13772,13194
1043,Cullman County,AL,734.84,82450,82867,83418,83768,87866
1045,Dale County,AL,561.15,49362,49342,49143,49172,49326
1047,Dallas County,AL,978.7,40080,39238,38294,37196,38462
1049,DeKalb County,AL,777.09,71104,71437,71407,71513,71608
1051,Elmore County,AL,618.49,81204,81422,81011,81209,87977
1053,Escambia County,AL,945.08,37475,36993,36524,36633,36757
1055,Etowah County,AL,534.99,102855,103007,102611,102268,103436
1057,Fayette County,AL,627.66,16563,16466,16445,16302,16321
1059,Franklin County,AL,633.82,31611,31542,31298,31362,32113
1061,Geneva County,AL,574.41,26494,26385,26306,26271,26659
1063,Greene County,AL,647.11,8482,8310,8209,8111,7730
1065,Hale County,AL,643.94,14828,14801,14749,14651,14785
1067,Henry County,AL,561.75,17072,17115,17173,17205,17146
1069,Houston County,AL,579.82,104218,104378,104770,105882,107202
1071,Jackson County,AL,1077.87,51988,51828,51621,51626,52579
1073,Jefferson County,AL,1111.28,660343,659599,659429,658573,674721
1075,Lamar County,AL,604.85,13928,13882,13882,13805,13972
1077,Lauderdale County,AL,667.7,92425,92564,92604,92729,93564
1079,Lawrence County,AL,690.68,33227,33063,32941,32924,33073
1081,Lee County,AL,607.54,159168,161440,163656,164542,174241
1083,Limestone County,AL,559.94,92847,94130,96177,98915,103570
1085,Lowndes County,AL,715.91,10248,10097,9974,9726,10311
1087,Macon County,AL,608.89,19060,18793,18321,18068,19532
1089,Madison County,AL,801.59,356729,361762,367004,372909,388153
1091,Marengo County,AL,976.88,19525,19396,19056,18863,19323
1093,Marion County,AL,742.29,29960,29792,29750,29709,29341
1095,Marshall County,AL,565.84,95113,95572,96170,96774,97612
1097,Mobile County,AL,1229.44,414945,414045,413908,413210,414809
1099,Monroe County,AL,1025.68,21548,21290,21062,20733,19772
1101,Montgomery County,AL,784.25,227170,227265,226504,226486,228954
1103,Morgan County,AL,579.34,119006,118918,119203,119679,123421
1105,Perry County,AL,719.66,9532,9302,9070,8923,8511
1107,Pickens County,AL,881.41,20325,20204,19980,19930,19123
1109,Pike County,AL,672.09,33464,33349,33242,33114,33009
1111,Randolph County,AL,580.55,22504,22687,22727,22722,21967
1113,Russell County,AL,641.14,58185,56985,57784,57961,59183
1115,St. Clair County,AL,631.9,87306,87926,88654,89512,91103
