FIPS,state,land_area,pop_2020
1000,AL,50645.33,5024279
2000,AK,570640.95,733391
4000,AZ,113594.08,7151502
5000,AR,52035.48,3011524
6000,CA,155779.22,39538223
8000,CO,103641.89,5773714
9000,CT,4842.36,3605944
10000,DE,1948.54,989948
11000,DC,61.05,689545
12000,FL,53624.76,21538187
13000,GA,57513.49,10711908
15000,HI,6422.63,1455271
16000,ID,82643.12,1839106
17000,IL,55518.93,12812508
18000,IN,35826.11,6785528
19000,IA,55857.13,3190369
20000,KS,81758.72,2937880
21000,KY,39486.34,4505836
22000,LA,43203.9,4657757
23000,ME,30842.92,1362359
24000,MD,9707.24,6177224
25000,MA,7800.06,7029917
26000,MI,56538.9,10077331
27000,MN,79626.74,5706494
28000,MS,46923.27,2961279
29000,MO,68741.52,6154913
30000,MT,145545.8,1084225
31000,NE,76824.17,1961504
32000,NV,109781.18,3104614
33000,NH,8952.65,1377529
34000,NJ,7354.22,9288994
35000,NM,121298.15,2117522
36000,NY,47126.4,20201249
37000,NC,48617.91,10439388
38000,ND,69000.8,779094
39000,OH,40860.69,11799448
40000,OK,68594.92,3959353
41000,OR,95988.01,4237256
42000,PA,44742.7,13002700
44000,RI,1033.81,1097379
45000,SC,30060.7,5118425
46000,SD,75811.0,886667
47000,TN,41234.9,6910840
48000,TX,261231.71,29145505
49000,UT,82169.62,3271616
50000,VT,9216.66,643077
51000,VA,39490.09,8631393
53000,WA,66455.52,7705281
54000,WV,24038.21,1793716
55000,WI,54157.8,5893718
56000,WY,97093.14,576851
