FIPS,year,state,county,density,average_listing_price,average_listing_price_mm,average_listing_price_yy,median_listing_price,median_listing_price_mm,median_listing_price_yy,rural_%,rural_cat,total_listing_count
4001,2021,AZ,Apache County,5,495914.0,-0.0197,0.1282,279000.0,-0.0016,-0.0571,74.06107553343215,1,79.0
4001,2021,AZ,Apache County,5,491306.0,-0.0093,0.1099,276750.0,-0.0081,-0.065,74.06107553343215,1,76.0
4001,2021,AZ,Apache County,5,561300.0,0.1425,0.0189,279000.0,0.0081,-0.1143,74.06107553343215,1,76.0
4001,2021,AZ,Apache County,5,582903.0,0.0385,0.1239,304444.0,0.0912,-0.0829,74.06107553343215,1,85.0
4001,2021,AZ,Apache County,5,618663.0,0.0613,0.2552,329000.0,0.0807,0.1119,74.06107553343215,1,82.0
4001,2021,AZ,Apache County,5,604705.0,-0.0226,0.1687,330000.0,0.003,0.1362,74.06107553343215,1,95.0
4001,2021,AZ,Apache County,5,641255.0,0.0604,0.2047,360000.0,0.0909,0.2103,74.06107553343215,1,114.0
4001,2021,AZ,Apache County,5,636875.0,-0.0068,0.1576,382000.0,0.0611,0.291,74.06107553343215,1,117.0
4001,2021,AZ,Apache County,5,687264.0,0.0791,0.1683,417500.0,0.0929,0.3381,74.06107553343215,1,108.0
4001,2021,AZ,Apache County,5,750631.0,0.0922,0.2785,445000.0,0.0659,0.4833,74.06107553343215,1,93.0
4001,2021,AZ,Apache County,5,762328.0,0.0156,0.3179,405000.0,-0.0899,0.3069,74.06107553343215,1,80.0
4001,2021,AZ,Apache County,5,689360.0,-0.0957,0.3627,392500.0,-0.0309,0.4045,74.06107553343215,1,70.0
4003,2021,AZ,Cochise County,20,312780.0,-0.0103,0.1553,225000.0,0.023,0.0714,36.30106740974221,2,524.0
4003,2021,AZ,Cochise County,20,345018.0,0.1031,0.2607,234950.0,0.0442,0.1188,36.30106740974221,2,564.0
4003,2021,AZ,Cochise County,20,364720.0,0.0571,0.3295,247500.0,0.0534,0.1945,36.30106740974221,2,553.0
4003,2021,AZ,Cochise County,20,385135.0,0.0559999999999999,0.4514,255000.0,0.0303,0.2028,36.30106740974221,2,552.0
4003,2021,AZ,Cochise County,20,390607.0,0.0142,0.4014,250000.0,-0.0196,0.1628,36.30106740974221,2,580.0
4003,2021,AZ,Cochise County,20,402437.0,0.0303,0.4102,259950.0,0.0398,0.2063,36.30106740974221,2,636.0
4003,2021,AZ,Cochise County,20,408059.0,0.0139999999999999,0.4084,277500.0,0.0675,0.2759,36.30106740974221,2,640.0
4003,2021,AZ,Cochise County,20,421453.0,0.0328,0.3904,287500.0,0.036,0.25,36.30106740974221,2,591.0
4003,2021,AZ,Cochise County,20,438557.0,0.0406,0.4036,307500.0,0.0696,0.3517,36.30106740974221,2,606.0
4003,2021,AZ,Cochise County,20,429524.0,-0.0206,0.3472,315000.0,0.0244,0.4,36.30106740974221,2,586.0
4003,2021,AZ,Cochise County,20,429521.0,0.0,0.3277,298700.0,-0.0517,0.3276,36.30106740974221,2,585.0
4003,2021,AZ,Cochise County,20,431736.0,0.0052,0.3661,295000.0,-0.0124,0.3412,36.30106740974221,2,519.0
4005,2021,AZ,Coconino County,7,832413.0,0.0291,0.1774,649900.0,0.1109,0.2871,31.46606557011181,2,247.0
4005,2021,AZ,Coconino County,7,804698.0,-0.0333,0.0961,619250.0,-0.0472,0.1795,31.46606557011181,2,250.0
4005,2021,AZ,Coconino County,7,811968.0,0.009,0.0989,607500.0,-0.019,0.1148,31.46606557011181,2,289.0
4005,2021,AZ,Coconino County,7,842669.0,0.0378,0.1694,624900.0,0.0286,0.1793,31.46606557011181,2,344.0
4005,2021,AZ,Coconino County,7,857947.0,0.0181,0.2023,629000.0,0.0066,0.1981,31.46606557011181,2,429.0
4005,2021,AZ,Coconino County,7,878299.0,0.0237,0.2636,650000.0,0.0334,0.3186,31.46606557011181,2,489.0
4005,2021,AZ,Coconino County,7,913153.0,0.0397,0.3639,639500.0,-0.0162,0.3048,31.46606557011181,2,512.0
4005,2021,AZ,Coconino County,7,902054.0,-0.0122,0.2555,647500.0,0.0125,0.1783,31.46606557011181,2,521.0
4005,2021,AZ,Coconino County,7,933377.0,0.0347,0.233,647450.0,-0.0001,0.0837,31.46606557011181,2,509.0
4005,2021,AZ,Coconino County,7,969997.0,0.0392,0.2212,650000.0,0.0039,0.1111,31.46606557011181,2,432.0
4005,2021,AZ,Coconino County,7,1047630.0,0.08,0.2711,702500.0,0.0808,0.1708,31.46606557011181,2,389.0
4005,2021,AZ,Coconino County,7,1003875.0,-0.0418,0.2411,669950.0,-0.0463,0.1452,31.46606557011181,2,351.0
4007,2021,AZ,Gila County,11,678487.0,0.0426,0.3527,415000.0,0.0184,0.0779,41.06199973879135,2,280.0
4007,2021,AZ,Gila County,11,775938.0,0.1436,0.5262,485000.0,0.1687,0.2933,41.06199973879135,2,304.0
4007,2021,AZ,Gila County,11,803579.0,0.0356,0.5723,512000.0,0.0557,0.3229999999999999,41.06199973879135,2,332.0
4007,2021,AZ,Gila County,11,744570.0,-0.0734,0.5507,477000.0,-0.0684,0.3177,41.06199973879135,2,351.0
4007,2021,AZ,Gila County,11,708793.0,-0.0481,0.4745,475000.0,-0.0042,0.3014,41.06199973879135,2,360.0
4007,2021,AZ,Gila County,11,696090.0,-0.0179,0.4064,497000.0,0.0463,0.3271,41.06199973879135,2,366.0
4007,2021,AZ,Gila County,11,667386.0,-0.0412,0.2549,475000.0,-0.0443,0.1912,41.06199973879135,2,362.0
4007,2021,AZ,Gila County,11,634848.0,-0.0488,0.1229,477450.0,0.0052,0.2103,41.06199973879135,2,397.0
4007,2021,AZ,Gila County,11,646035.0,0.0176,0.111,467700.0,-0.0204,0.1841,41.06199973879135,2,412.0
4007,2021,AZ,Gila County,11,676695.0,0.0475,0.0954,495000.0,0.0584,0.1647,41.06199973879135,2,369.0
4007,2021,AZ,Gila County,11,648781.0,-0.0413,0.0046,448950.0,-0.093,0.0766,41.06199973879135,2,335.0
4007,2021,AZ,Gila County,11,659495.0,0.0165,0.0134,457500.0,0.019,0.1227,41.06199973879135,2,286.0
4009,2021,AZ,Graham County,8,277212.0,-0.105,0.1196,230000.0,-0.0211,0.1689999999999999,46.437399247716286,2,77.0
4009,2021,AZ,Graham County,8,257860.0,-0.0698,-0.0046,220000.0,-0.0435,0.0,46.437399247716286,2,72.0
4009,2021,AZ,Graham County,8,288580.0,0.1191,0.0794,229800.0,0.0445,0.0566,46.437399247716286,2,79.0
4009,2021,AZ,Graham County,8,282656.0,-0.0205,0.0667,225400.0,-0.0191,0.0733,46.437399247716286,2,81.0
4009,2021,AZ,Graham County,8,286315.0,0.0129,0.1309,234000.0,0.0382,0.0405,46.437399247716286,2,59.0
4009,2021,AZ,Graham County,8,293153.0,0.0239,0.1396,269000.0,0.1496,0.2227,46.437399247716286,2,52.0
4009,2021,AZ,Graham County,8,275975.0,-0.0586,0.0431,249945.0,-0.0708,0.1387,46.437399247716286,2,50.0
4009,2021,AZ,Graham County,8,327944.0,0.1883,0.1302,294000.0,0.1763,0.3067,46.437399247716286,2,57.0
4009,2021,AZ,Graham County,8,318780.0,-0.0279,-0.0275,258500.0,-0.1207,0.0839,46.437399247716286,2,56.0
4009,2021,AZ,Graham County,8,321239.0,0.0077,0.1162,275000.0,0.0638,0.1468,46.437399247716286,2,66.0
4009,2021,AZ,Graham County,8,319379.0,-0.0058,0.0653,282000.0,0.0255,0.1876,46.437399247716286,2,72.0
4009,2021,AZ,Graham County,8,319398.0,0.0001,0.0312,294450.0,0.0441,0.2532,46.437399247716286,2,72.0
4011,2021,AZ,Greenlee County,5,68550.0,-0.0855,-0.7952,75000.0,0.0,-0.6999,46.5686855517364,2,8.0
4011,2021,AZ,Greenlee County,5,798823.0,10.6531,1.8654,110000.0,0.4667,-0.5397,46.5686855517364,2,7.0
4011,2021,AZ,Greenlee County,5,800950.0,0.0027,1.9384,140000.0,0.2727,-0.408,46.5686855517364,2,7.0
4011,2021,AZ,Greenlee County,5,677375.0,-0.1543,1.7117,134500.0,-0.0393,-0.4252,46.5686855517364,2,7.0
