state,average_listing_price,density
AK,303301.1186440678,1
AK,369025.03225806454,1
AK,403989.6666666667,1
AK,426217.4166666667,1
AK,424255.6666666667,1
AK,491605.0,1
AK,272237.25,1
AK,417448.0,1
AL,232208.13888888888,99
AL,171172.27586206896,99
AL,193841.875,99
AL,353511.5833333333,99
AL,120732.14285714286,99
AL,152397.5,99
AL,210529.95833333334,99
AL,200469.45833333334,99
AL,246527.41666666666,99
AL,242483.25,99
AL,169305.0,99
AL,319947.14285714284,99
AL,292979.75,99
AL,270492.1666666667,99
AL,194557.25,99
AL,193595.58333333334,99
AL,268468.4166666667,99
AL,380408.2,99
AL,242170.2857142857,99
AL,159527.30434782608,99
AL,355446.5,99
AL,276913.8333333333,99
AL,302534.0833333333,99
AL,346209.9,99
AL,219158.0,99
AL,205843.16666666666,99
AL,248117.66666666666,99
AL,361342.2,99
AL,248414.41666666666,99
AL,283595.9166666667,99
AL,215771.5,99
AL,305443.0833333333,99
AL,276005.8333333333,99
AL,275705.85714285716,99
AL,286362.6666666667,99
AL,304204.75,99
AL,394801.3,99
AL,330298.3333333333,99
AL,335972.0833333333,99
AL,331039.75,99
AL,397233.71428571426,99
AL,385386.75,99
AL,329464.63636363635,99
AL,220100.66666666666,99
AL,257716.25,99
AL,366231.4166666667,99
AL,392050.75,99
AL,272141.25,99
AL,296749.3333333333,99
AL,407669.5,99
AL,330780.0,99
AR,85807.18181818182,57
AR,298379.75,57
AR,119537.91666666667,57
AR,247687.5,57
AR,177037.13043478262,57
AR,139643.79166666666,57
AR,117966.58333333333,57
AR,110131.70833333333,57
AR,129823.25,57
AR,159108.33333333334,57
AR,110834.0,57
AR,341790.6,57
AR,315139.04761904763,57
AR,191746.86111111112,57
AR,178670.95833333334,57
AR,229927.11904761905,57
AR,150633.58333333334,57
AR,187557.41666666666,57
AR,103224.91666666667,57
AR,168118.38888888888,57
AR,214297.30434782608,57
AR,202002.70833333334,57
AR,138454.33333333334,57
AR,208642.58333333334,57
AR,222076.75,57
AR,188291.75,57
AR,343837.8,57
AR,129408.5,57
AR,222124.5,57
AR,294299.9166666667,57
AR,355171.0,57
AR,250743.58333333334,57
AR,255473.25,57
AR,353533.22222222225,57
AR,127634.83333333333,57
AR,230522.75,57
AR,181914.33333333334,57
AR,241249.58333333334,57
AR,308860.25,57
AR,305772.3333333333,57
AR,334497.9166666667,57
AR,331045.3333333333,57
AR,353684.8,57
