FIPS,state,county,density,rural_%,average_listing_price,cluster
4001,AZ,Apache County,5,74.06107553343215,463216.25,4
4003,AZ,Cochise County,20,36.30106740974221,252562.33333333334,1
4005,AZ,Coconino County,7,31.46606557011181,666891.1666666666,0
4007,AZ,Gila County,11,41.06199973879135,471559.3333333333,4
4009,AZ,Graham County,8,46.437399247716286,241557.58333333334,1
4011,AZ,Greenlee County,5,46.5686855517364,239195.5,1
4012,AZ,La Paz County,3,56.3277856410757,315948.5833333333,1
4013,AZ,Maricopa County,480,2.363799694900628,667522.25,2
4015,AZ,Mohave County,16,22.963643811255533,374457.5833333333,3
4017,AZ,Navajo County,10,54.13824232891884,391470.8333333333,4
4019,AZ,Pima County,113,7.523491144723406,421055.5833333333,3
4021,AZ,Pinal County,79,21.90462250844932,325836.8333333333,3
4023,AZ,Santa Cruz County,38,26.88317165752847,444905.0833333333,3
4025,AZ,Yavapai County,29,33.19717769258836,609945.6666666666,0
4027,AZ,Yuma County,36,10.429576349546108,254077.41666666666,3
