state,average_listing_price,density
AK,312031.9609375,1
AK,384757.0,1
AK,734775.7222222222,1
AK,426217.4166666667,1
AK,424255.6666666667,1
AK,497813.6666666667,1
AK,272237.25,1
AK,417448.0,1
AL,232208.13888888888,99
AL,232080.88888888888,99
AL,193841.875,99
AL,353511.5833333333,99
AL,387041.5,99
AL,152397.5,99
AL,210529.95833333334,99
AL,200469.45833333334,99
AL,246527.41666666666,99
AL,242483.25,99
AL,169305.0,99
AL,374310.7916666667,99
AL,292979.75,99
AL,270492.1666666667,99
AL,194557.25,99
AL,193595.58333333334,99
AL,268468.4166666667,99
AL,414760.25,99
AL,340514.9583333333,99
AL,157168.70833333334,99
AL,368717.5,99
AL,276913.8333333333,99
AL,302534.0833333333,99
AL,371229.1666666667,99
AL,219158.0,99
AL,205843.16666666666,99
AL,669774.4166666666,99
AL,248117.66666666666,99
AL,374422.25,99
AL,248414.41666666666,99
AL,283595.9166666667,99
AL,215771.5,99
AL,305443.0833333333,99
AL,276005.8333333333,99
AL,413053.25,99
AL,286362.6666666667,99
AL,304204.75,99
AL,401344.0,99
AL,330298.3333333333,99
AL,335972.0833333333,99
AL,331039.75,99
AL,620798.0,99
AL,411484.8333333333,99
AL,429586.0833333333,99
AL,338473.4166666667,99
AL,220100.66666666666,99
AL,257716.25,99
AL,366231.4166666667,99
AL,542157.9166666666,99
AL,392050.75,99
AL,272141.25,99
AL,296749.3333333333,99
AL,437760.0833333333,99
AL,330780.0,99
AR,82225.33333333333,57
AR,378508.6666666667,57
AR,119537.91666666667,57
AR,432862.1666666667,57
AR,193046.79166666666,57
AR,139643.79166666666,57
AR,117966.58333333333,57
AR,110131.70833333333,57
AR,129823.25,57
AR,336271.3333333333,57
AR,110834.0,57
AR,402366.6666666667,57
AR,323303.875,57
AR,191746.86111111112,57
AR,178670.95833333334,57
AR,252282.22916666666,57
AR,150633.58333333334,57
AR,187557.41666666666,57
AR,103224.91666666667,57
AR,168118.38888888888,57
AR,221363.875,57
AR,202002.70833333334,57
AR,138454.33333333334,57
AR,208642.58333333334,57
AR,222076.75,57
AR,188291.75,57
AR,467751.1666666667,57
AR,129408.5,57
AR,222124.5,57
AR,294299.9166666667,57
AR,413400.0833333333,57
AR,250743.58333333334,57
AR,255473.25,57
AR,361352.0,57
AR,127634.83333333333,57
AR,230522.75,57
AR,181914.33333333334,57
AR,241249.58333333334,57
AR,308860.25,57
AR,427410.9166666667,57
AR,305772.3333333333,57
AR,334497.9166666667,57
AR,331045.3333333333,57
AR,357690.1666666667,57
AR,534561.0,57
AR,499421.5833333333,57
AR,348875.6666666667,57
AZ,587637.6666666666,62
AZ,657075.5,62
AZ,899840.0,62
AZ,297374.25,62
AZ,580345.9166666666,62
AZ,695058.0833333334,62
AZ,467019.5,62
AZ,396628.9166666667,62
AZ,881942.9166666666,62
AZ,319238.0,62
AZ,687152.3333333334,62
AZ,438229.5,62
AZ,514230.1666666667,62
AZ,833891.0833333334,62
CA,583835.75,253
CA,339950.4166666667,253
CA,901413.8333333334,253
CA,1194430.75,253
CA,661235.0,253
CA,750801.2777777778,253
CA,1092500.5,253
CA,556773.5833333334,253
CA,748415.4583333334,253
CA,562099.0833333334,253
CA,1371865.4166666667,253
CA,627878.5,253
CA,738340.1666666666,253
CA,363269.5,253
CA,641747.1666666666,253
CA,1264144.1666666667,253
CA,619391.4166666666,253
CA,699956.6666666666,253
CA,601235.8333333334,253
CA,595765.3333333334,253
CA,1490859.8333333333,253
CA,526059.9166666666,253
CA,982620.5,253
CA,620766.75,253
CA,485865.1666666667,253
CA,842481.125,253
CA,521355.0833333333,253
CA,2674377.1666666665,253
CA,696123.75,253
CA,5565036.166666667,253
CA,623107.0833333334,253
CA,550163.1666666666,253
CA,3243758.9166666665,253
CA,752368.5833333334,253
CA,1194067.8333333333,253
CA,1504762.9166666667,253
CA,825299.8333333334,253
CA,611758.9166666666,253
CA,1805939.75,253
CA,2587623.75,253
CA,659493.8333333334,253
CA,631932.5,253
CA,1595394.3333333333,253
CA,1605994.75,253
CA,1913006.6666666667,253
CA,1108975.3333333333,253
CA,654696.25,253
CA,3515461.5,253
CA,1171472.5,253
CA,2305355.9166666665,253
CA,2139295.6666666665,253
CA,2030935.1666666667,253
CO,366170.8,55
CO,424921.5588235294,55
CO,438571.2361111111,55
CO,356700.44444444444,55
CO,1208923.6666666667,55
CO,1277642.5833333333,55
CO,2376697.638888889,55
CO,379274.6388888889,55
CO,1323520.9583333333,55
CO,1148346.0833333333,55
CO,1790387.0833333333,55
CO,300072.0,55
CO,771048.75,55
CO,607183.875,55
CO,5343644.666666667,55
CO,877813.8055555555,55
CO,1031599.75,55
CO,387159.9583333333,55
CO,923389.75,55
CO,632901.0833333334,55
CO,528265.4166666666,55
CO,1684761.0,55
CO,2541696.5,55
CO,682586.4166666666,55
CO,755186.25,55
CO,650842.3333333334,55
CO,1318545.8333333333,55
CO,540781.6666666666,55
CO,599268.4166666666,55
CO,703690.6666666666,55
CO,673360.4166666666,55
CO,1238431.5,55
CO,552391.4166666666,55
CO,1349491.25,55
CO,974113.5,55
CO,791179.0,55
CO,776721.0,55
CO,863474.75,55
CT,1022986.9166666666,744
CT,420080.75,744
CT,371026.6666666667,744
CT,518350.9166666667,744
CT,624750.0833333334,744
CT,368905.0,744
CT,453894.6666666667,744
CT,1783225.1666666667,744
DC,934055.1666666666,11294
DE,605935.5833333334,508
DE,370734.0,508
DE,393978.5833333333,508
FL,273198.8333333333,401
FL,434670.0833333333,401
FL,427684.0833333333,401
FL,574940.5,401
FL,368498.375,401
FL,505321.7083333333,401
FL,284637.0,401
FL,477207.3333333333,401
FL,475116.6666666667,401
FL,446817.5833333333,401
FL,312966.9166666667,401
FL,318520.8333333333,401
FL,347934.3333333333,401
FL,382325.30555555556,401
FL,438349.25,401
FL,328506.3333333333,401
FL,347365.5833333333,401
FL,400347.3333333333,401
FL,1525604.25,401
FL,1272296.4583333333,401
FL,359548.4166666667,401
FL,342639.25,401
FL,743813.75,401
FL,374543.75,401
FL,776473.0833333334,401
FL,598453.5,401
FL,1487634.5833333333,401
FL,696153.8333333334,401
FL,553243.8333333334,401
FL,448158.72222222225,401
FL,407212.75,401
FL,485396.6666666667,401
FL,1075799.25,401
FL,471321.8333333333,401
FL,810270.5,401
FL,401999.3333333333,401
FL,413637.6666666667,401
FL,352309.6666666667,401
FL,452519.0833333333,401
FL,390561.0833333333,401
FL,304940.4166666667,401
FL,723584.3333333334,401
FL,472170.25,401
FL,482628.3333333333,401
FL,746486.0,401
FL,438309.6666666667,401
FL,484752.5833333333,401
FL,368473.8333333333,401
FL,1557378.0833333333,401
FL,1018149.0833333334,401
FL,717933.6666666666,401
FL,398263.9166666667,401
FL,1301643.4166666667,401
FL,596294.3333333334,401
FL,474177.8333333333,401
FL,558056.5,401
FL,740582.6666666666,401
FL,613908.3333333334,401
GA,155257.29411764705,186
GA,432454.0,186
GA,452692.55555555556,186
GA,112791.83333333333,186
GA,282080.5833333333,186
GA,313999.4166666667,186
GA,167063.33333333334,186
GA,380222.57446808513,186
GA,361046.6111111111,186
GA,314987.36363636365,186
GA,220255.41666666666,186
GA,229063.08333333334,186
GA,323551.375,186
GA,179680.97222222222,186
GA,167216.25,186
GA,246033.69444444444,186
GA,193212.41666666666,186
GA,920415.75,186
GA,151193.41666666666,186
GA,268346.8333333333,186
GA,228966.58333333334,186
GA,302433.55555555556,186
GA,198039.63636363635,186
GA,324105.1388888889,186
GA,362284.7916666667,186
GA,221731.88333333333,186
GA,401076.1666666667,186
GA,156453.08333333334,186
GA,536999.5,186
GA,301018.6666666667,186
GA,494773.2916666667,186
GA,298502.75,186
GA,216094.91666666666,186
GA,1199383.1666666667,186
GA,286171.5833333333,186
GA,208889.75,186
GA,264621.25,186
GA,500864.3333333333,186
GA,223880.0,186
GA,208400.45833333334,186
GA,326209.8333333333,186
GA,735525.8333333334,186
GA,832965.4166666666,186
GA,195098.58333333334,186
GA,794958.5833333334,186
GA,304415.75,186
GA,459819.625,186
GA,363447.4166666667,186
GA,406874.9166666667,186
GA,575198.9166666666,186
GA,542420.5833333334,186
GA,276153.25,186
GA,313408.6666666667,186
GA,283792.1666666667,186
GA,457377.0,186
GA,391077.0833333333,186
GA,379876.125,186
GA,305421.25,186
GA,653771.1666666666,186
GA,328964.4166666667,186
GA,474780.8333333333,186
GA,435776.5833333333,186
GA,645481.5,186
GA,285528.8333333333,186
GA,646291.0,186
GA,270795.0833333333,186
GA,352214.1666666667,186
GA,330724.1666666667,186
GA,428555.6666666667,186
GA,595109.6666666666,186
GA,382881.25,186
GA,312545.3333333333,186
GA,236841.16666666666,186
GA,385794.1666666667,186
GA,793581.4166666666,186
GA,331952.8333333333,186
GA,364196.0,186
GA,242605.66666666666,186
GA,317118.5833333333,186
GA,740575.9166666666,186
GA,533556.6666666666,186
GA,654484.6666666666,186
GA,412307.4166666667,186
GA,343526.0833333333,186
GA,135427.66666666666,186
GA,462288.3333333333,186
GA,489795.1666666667,186
GA,288286.75,186
GA,350824.4166666667,186
GA,328915.25,186
GA,409272.4166666667,186
GA,288128.0833333333,186
GA,643877.6666666666,186
GA,436263.6666666667,186
GA,398243.25,186
GA,369865.75,186
GA,583846.25,186
GA,231895.83333333334,186
GA,515143.5,186
GA,268628.0,186
GA,531769.75,186
GA,379500.5,186
GA,394622.9166666667,186
GA,266441.0833333333,186
GA,432027.6666666667,186
GA,640113.8333333334,186
GA,711668.6666666666,186
GA,230859.58333333334,186
GA,517065.6666666667,186
GA,527407.4166666666,186
GA,464741.0,186
HI,1283354.0,226
HI,2273150.75,226
HI,2261603.4166666665,226
HI,1288058.3333333333,226
IA,165573.04166666666,57
