state,density,average_listing_price,cluster
AK,1,433692.0853949653,5
AL,99,311323.8909465021,9
AR,57,253480.81072695035,1
AZ,62,589690.2738095239,7
CA,253,1199066.547008547,4
CO,55,1031335.7280099759,0
CT,744,695402.5208333334,2
DC,11294,934055.1666666666,4
DE,508,456882.72222222225,10
FL,401,578995.3891283525,7
GA,186,392316.90642369527,9
HI,226,1776541.625,3
IA,57,221600.77780732862,1
ID,22,747512.0446657509,7
IL,230,207085.69056372548,1
IN,189,284222.51557807805,1
KS,35,213527.59770166676,1
KY,114,293500.1560969038,1
LA,107,287659.91452991456,9
MA,901,1361562.8988095238,8
MD,636,520415.42013888893,7
ME,44,490764.475,10
MI,178,354291.68925925926,9
MN,71,307566.8933691756,9
MO,89,277158.09745515225,1
MS,63,271780.8600757576,1
MT,7,757297.2542178363,7
NC,214,441548.7346161777,5
ND,11,252933.3720556332,9
NE,25,302891.2846456574,1
NH,153,533771.9259259258,7
NJ,1263,597536.626984127,2
NM,17,419663.3648989899,5
NV,28,778058.1278236915,6
NY,428,516903.95089285716,7
OH,288,266281.83438818564,1
OK,57,278062.7683054503,1
OR,44,653662.5984515183,2
PA,290,307486.623015873,9
RI,1061,936283.2166666666,0
SC,170,395005.13125,5
SD,11,322138.78777640214,9
TN,167,440701.7038726799,5
TX,111,397313.77936397196,5
UT,39,874092.3880325814,6
VA,218,457864.37831858406,10
VT,69,524079.0416666666,10
WA,115,673460.0427536232,2
WI,108,359393.945662768,5
WV,74,226288.66607565014,1
WY,5,646642.7116161616,2
