state,density,average_listing_price,cluster
AK,1,296151.70812955813,5
AL,99,231299.3671095876,7
AR,57,181383.96537847634,2
AZ,62,413499.72321428574,0
CA,253,481696.1808210383,6
CO,55,527220.7415819515,6
CT,744,327590.1611111111,5
DC,11294,970809.75,1
DE,508,372431.2777777778,8
FL,401,349928.96219298244,8
GA,186,246354.55137702412,7
HI,226,1548047.125,3
IA,57,176579.6286724794,2
ID,22,352617.6544311968,8
IL,230,149085.39112157666,10
IN,189,199845.60902451308,2
KS,35,143894.71814334884,10
KY,114,200891.27904921203,2
LA,107,229461.6273121323,7
MA,901,703498.8472222221,4
MD,636,303223.91071428574,5
ME,44,363930.2833333333,8
MI,178,234051.83733821733,7
MN,71,236587.16110984734,7
MO,89,194100.651659733,2
MS,63,192912.60749734202,2
MT,7,367165.22449407156,8
NC,214,304021.32699068607,5
ND,11,190384.4174372541,2
NE,25,185801.1333081288,2
NH,153,346366.9097222222,8
NJ,1263,492118.10317460314,6
NM,17,268385.77698899753,9
NV,28,352760.8334640523,8
NY,428,299482.0588045635,5
OH,288,202138.11830577877,2
OK,57,184192.5278658189,2
OR,44,465147.21338461543,6
PA,290,225095.85395480224,7
RI,1061,695985.95,4
SC,170,273969.03795207717,9
SD,11,207352.38369934843,2
TN,167,291397.35636373825,5
TX,111,274047.2713968283,9
UT,39,406226.30807742727,0
VA,218,323783.78526507,5
VT,69,369976.22144522145,8
WA,115,448417.8746054293,0
WI,108,276819.96295633406,9
WV,74,173651.17081781267,2
WY,5,302583.4698587708,5
